"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
"27710",3000,3000,"22.11%","60 months","other","0%","MN","OWN",1471,"690-694",3,0,0,"6 years"
"25655",5000,5000,"11.49%","36 months","home_improvement","6.62%","NC","MORTGAGE",3125,"730-734",4,7187,1,"1 year"
"27832",18500,18500,"12.99%","36 months","debt_consolidation","7.96%","NY","RENT",5000,"685-689",6,13490,0,"10+ years"
"80208",18000,18000,"14.09%","36 months","debt_consolidation","15.45%","OR","MORTGAGE",4000,"690-694",11,13877,0,"5 years"
"27425",4200,4200,"10.59%","36 months","car","11.53%","GA","RENT",3000,"695-699",11,10067,0,"7 years"
"21033",5000,4975,"7.29%","36 months","vacation","2.33%","GA","MORTGAGE",5416.67,"725-729",8,2937,1,"10+ years"
"34961",19000,19000,"11.71%","60 months","credit_card","13.79%","NJ","MORTGAGE",4791.67,"730-734",9,16348,0,"5 years"
"38145",15000,15000,"16.77%","36 months","debt_consolidation","7.29%","MD","RENT",7916.67,"675-679",5,5355,1,"6 years"
"77673",18625,18625,"19.72%","60 months","credit_card","22.98%","AL","RENT",4000,"680-684",15,26050,2,"9 years"
"51812",6075,6075,"7.62%","36 months","debt_consolidation","28.25%","OR","RENT",1083.33,"720-724",8,11539,0,"n/a"
"94947",12500,12500,"15.31%","36 months","debt_consolidation","17.67%","TX","MORTGAGE",3916.67,"690-694",7,8221,3,"10+ years"
"49573",5000,5000,"15.31%","36 months","debt_consolidation","4.91%","CA","RENT",7083.33,"665-669",12,8225,1,"5 years"
"61720",10000,10000,"12.12%","36 months","credit_card","23.06%","MA","RENT",3083.33,"690-694",14,13638,0,"3 years"
"42743",8000,8000,"16.77%","36 months","credit_card","20.99%","TX","RENT",3750,"660-664",6,4010,0,"5 years"
"50398",20000,19975,"15.81%","36 months","debt_consolidation","21.42%","CO","RENT",5000,"680-684",12,24352,1,"< 1 year"
"40343",9600,9600,"13.49%","36 months","credit_card","15.04%","PA","RENT",4250,"685-689",17,7713,1,"1 year"
"52548",3600,3600,"9.76%","36 months","credit_card","11.34%","MI","RENT",2108.33,"695-699",14,4467,0,"n/a"
"96704",14075,14075,"18.75%","36 months","other","12.96%","NY","RENT",3033.33,"690-694",6,13036,0,"8 years"
"10059",3000,3000,"7.51%","36 months","major_purchase","11.31%","CT","RENT",3500,"735-739",9,0,2,"3 years"
"82534",35000,34975,"10.16%","36 months","debt_consolidation","25.56%","NY","RENT",9220,"760-764",12,40782,1,"10+ years"
"25767",1700,1700,"6.99%","36 months","car","5.20%","VA","RENT",2250,"750-754",4,4527,0,"5 years"
"9244",8800,8800,"7.51%","36 months","other","20.73%","PA","MORTGAGE",4833,"790-794",6,306,4,"5 years"
"6045",24250,23985.41,"12.18%","36 months","debt_consolidation","17.65%","CA","MORTGAGE",8910.42,"740-744",16,81940,0,"10+ years"
"5073",10750,10166.42,"11.14%","36 months","credit_card","11.91%","MA","MORTGAGE",4416.67,"720-724",9,12619,1,"2 years"
"38378",6000,6000,"15.96%","36 months","debt_consolidation","24.85%","CA","MORTGAGE",3264,"660-664",13,6347,1,"10+ years"
"99189",15000,15000,"10.16%","36 months","credit_card","18.57%","CA","MORTGAGE",5000,"700-704",13,33389,0,"10+ years"
"66604",15000,15000,"14.33%","36 months","credit_card","16.38%","MD","MORTGAGE",5500,"700-704",10,12413,2,"3 years"
"87649",10000,10000,"13.11%","36 months","credit_card","14.12%","CA","RENT",7500,"680-684",12,3235,0,"6 years"
"58739",5950,5950,"12.12%","36 months","credit_card","21.54%","FL","MORTGAGE",5000,"690-694",9,47746,0,"10+ years"
"28808",10000,10000,"10.99%","36 months","debt_consolidation","8.23%","NY","OWN",5833.33,"700-704",15,11620,0,"< 1 year"
"26877",4000,4000,"15.23%","36 months","other","10.73%","MA","RENT",2916.67,"670-674",6,1651,1,"6 years"
"13309",15000,14675,"7.88%","36 months","home_improvement","0.53%","VA","MORTGAGE",10417,"780-784",8,1343,1,"< 1 year"
"6128",10000,9850,"15.31%","36 months","debt_consolidation","18.60%","NY","RENT",2500,"665-669",8,9092,1,"< 1 year"
"70785",8875,8875,"13.11%","36 months","other","30.46%","TX","OWN",2166.67,"700-704",9,6797,1,"2 years"
"44672",2400,2400,"10.74%","36 months","credit_card","11.20%","NY","RENT",2000,"705-709",4,3055,0,"10+ years"
"13054",25000,24950,"20.53%","60 months","debt_consolidation","18.50%","NJ","RENT",8000,"675-679",9,19548,0,"3 years"
"103426",5500,5500,"16.07%","36 months","other","19.35%","FL","MORTGAGE",3937.08,"685-689",6,689,8,"10+ years"
"4545",6000,6000,"12.53%","36 months","credit_card","23.07%","PA","RENT",2916.67,"685-689",11,3334,0,"2 years"
"82722",18000,18000,"19.05%","60 months","debt_consolidation","6.28%","MD","MORTGAGE",7500,"690-694",8,20675,1,"10+ years"
"40489",28000,27975,"7.90%","36 months","small_business","5.81%","WA","MORTGAGE",7000,"800-804",8,771,2,"9 years"
"49956",32000,32000,"16.29%","60 months","debt_consolidation","15.14%","AZ","RENT",7055,"725-729",8,16174,1,"6 years"
"69741",6000,6000,"13.11%","36 months","credit_card","4.53%","NY","RENT",2625,"690-694",5,4299,1,"10+ years"
"65248",7200,7200,"8.90%","60 months","debt_consolidation","25.16%","LA","MORTGAGE",3750,"750-754",13,7283,0,"6 years"
"75785",11500,11500,"11.14%","36 months","debt_consolidation","10.47%","AL","RENT",2916.67,"700-704",6,9562,0,"< 1 year"
"27764",4800,4800,"5.42%","36 months","major_purchase","10.23%","FL","MORTGAGE",6333.33,"790-794",13,10704,0,"10+ years"
"43707",4000,4000,"10.65%","36 months","debt_consolidation","23.40%","NC","MORTGAGE",2333.33,"685-689",21,3522,0,"7 years"
"35025",15000,15000,"10.65%","36 months","other","14.36%","CA","RENT",9083.33,"720-724",11,26902,0,"3 years"
"28518",15000,15000,"17.99%","36 months","debt_consolidation","21.04%","TX","MORTGAGE",5319.17,"675-679",13,5613,3,"2 years"
"42228",25000,25000,"12.42%","36 months","debt_consolidation","1.05%","CA","MORTGAGE",16666.67,"705-709",7,2839,0,"10+ years"
"81620",4800,4800,"18.75%","60 months","other","27.69%","TX","RENT",1560,"680-684",9,6563,0,"< 1 year"
"37389",9500,9500,"6.62%","36 months","debt_consolidation","19.28%","GA","MORTGAGE",3583.33,"735-739",8,5240,0,"10+ years"
"3204",15000,6200,"12.53%","36 months","home_improvement","13.78%","MO","MORTGAGE",8750,"705-709",8,21702,3,"1 year"
"10554",6000,6000,"13.98%","36 months","debt_consolidation","7.73%","CO","RENT",6250,"675-679",6,3507,0,"4 years"
"94092",12300,12300,"6.03%","36 months","debt_consolidation","7.15%","VA","RENT",6666.67,"740-744",10,10976,0,"10+ years"
"43387",24000,23950,"7.51%","36 months","other","17.95%","PA","OWN",4250,"755-759",6,19509,0,"2 years"
"103784",2000,1975,"11.12%","36 months","other","20.50%","NY","MORTGAGE",6833.33,"705-709",19,20653,5,"5 years"
"54576",14000,14000,"9.76%","36 months","debt_consolidation","22.55%","NJ","MORTGAGE",8750,"710-714",8,25026,0,"10+ years"
"47468",10000,10000,"12.12%","36 months","debt_consolidation","5.95%","NJ","OWN",5000,"700-704",5,10752,0,"4 years"
"2578",13000,8113.74,"9.63%","36 months","small_business","16.14%","TX","MORTGAGE",3500,"785-789",6,0,1,"1 year"
"73765",5000,5000,"16.29%","60 months","other","11.80%","VA","RENT",5416.67,"690-694",7,8745,1,"4 years"
"36519",6000,5994,"12.42%","36 months","credit_card","11.68%","VA","RENT",2500,"670-674",6,9482,0,"2 years"
"90239",10050,10050,"14.33%","36 months","debt_consolidation","6.07%","CA","RENT",2916.67,"710-714",9,7413,1,"6 years"
"45980",4800,4800,"7.90%","36 months","debt_consolidation","19.07%","OH","RENT",1500,"720-724",12,6813,3,"< 1 year"
"55803",14400,14400,"10.74%","36 months","debt_consolidation","5.90%","CA","MORTGAGE",6833.33,"700-704",15,10017,0,"10+ years"
"98051",11625,11625,"15.31%","36 months","debt_consolidation","16.73%","CA","RENT",2833.33,"695-699",8,17469,0,"10+ years"
"62884",18200,18200,"10.16%","36 months","credit_card","7.95%","NY","RENT",4750,"720-724",13,16184,2,"3 years"
"16406",20000,19875,"13.35%","36 months","debt_consolidation","15.68%","TX","MORTGAGE",9160,"710-714",9,32392,1,"10+ years"
"37065",9600,9575,"17.27%","60 months","credit_card","12.90%","NY","RENT",3333.33,"695-699",7,13648,1,"10+ years"
"4644",9000,9000,"11.83%","36 months","car","0.48%","MD","RENT",4833,"715-719",6,0,1,"4 years"
"57169",35000,35000,"18.25%","60 months","debt_consolidation","27.69%","MD","RENT",8083.33,"725-729",15,29300,0,"10+ years"
"33050",1900,1900,"7.51%","36 months","debt_consolidation","19.27%","PA","MORTGAGE",6000,"735-739",12,18397,2,"10+ years"
"46324",20000,19896.51,"13.67%","36 months","debt_consolidation","15.34%","FL","RENT",5166.67,"710-714",8,12394,1,"6 years"
"20367",2400,2400,"10.37%","36 months","wedding","9.54%","MN","MORTGAGE",3166.67,"675-679",6,2174,0,"1 year"
"36837",4500,4500,"11.71%","36 months","debt_consolidation","15.87%","CA","MORTGAGE",3333.33,"675-679",15,11963,0,"6 years"
"68829",12000,12000,"12.12%","36 months","debt_consolidation","19.41%","TX","MORTGAGE",8750,"710-714",10,32028,1,"4 years"
"694",10000,8175.26,"8.63%","36 months","debt_consolidation","5.91%","GA","MORTGAGE",7500,"730-734",16,18343,0,"7 years"
"61873",11575,11575,"7.90%","36 months","debt_consolidation","17.47%","TX","MORTGAGE",2833.33,"730-734",8,5654,0,"10+ years"
"94081",20000,20000,"6.62%","36 months","credit_card","21.61%","DC","MORTGAGE",8161.33,"720-724",14,27904,1,"8 years"
"101622",6000,3475,"14.70%","36 months","debt_consolidation","10.23%","MD","RENT",6500,"640-644",6,4103,0,"1 year"
"21900",2800,2800,"10.00%","36 months","debt_consolidation","20.32%","CA","RENT",3250,"700-704",4,8717,0,"5 years"
"70285",6000,6000,"14.09%","36 months","credit_card","9.93%","CA","RENT",4250,"680-684",6,5815,1,"3 years"
"16069",20000,14750,"6.91%","36 months","debt_consolidation","15.16%","CO","RENT",9208,"735-739",10,20965,0,"3 years"
"57923",22000,22000,"13.99%","60 months","debt_consolidation","18.28%","MI","MORTGAGE",6083.33,"720-724",9,20181,0,"8 years"
"99914",10000,10000,"13.11%","36 months","debt_consolidation","20.34%","MI","RENT",5416.67,"675-679",9,8066,0,"10+ years"
"100662",9450,9450,"12.12%","36 months","credit_card","11.74%","IL","MORTGAGE",4666.67,"690-694",13,17639,2,"10+ years"
"20530",10400,10325,"7.66%","36 months","debt_consolidation","13.02%","CA","MORTGAGE",6354,"725-729",10,19656,3,"10+ years"
"20329",15875,15818.07,"15.28%","60 months","debt_consolidation","22.10%","CA","RENT",3000,"720-724",5,14289,2,"2 years"
"53424",18000,18000,"12.12%","60 months","other","14.89%","VA","MORTGAGE",8333.33,"730-734",7,4038,0,"5 years"
"47764",8000,8000,"8.90%","36 months","other","2.93%","NY","RENT",5000,"710-714",8,5540,0,"2 years"
"94950",12000,12000,"14.33%","36 months","moving","20.06%","NY","RENT",4166.67,"760-764",8,14163,0,"2 years"
"15213",20000,12150,"6.54%","60 months","debt_consolidation","12.36%","NY","OWN",5000,"795-799",9,7960,2,"10+ years"
"38976",10000,10000,"16.77%","36 months","debt_consolidation","18.55%","CA","RENT",2916.67,"660-664",9,7565,3,"4 years"
"40113",24500,23475,"19.03%","60 months","debt_consolidation","23.02%","MD","RENT",4497,"680-684",13,18906,0,"10+ years"
"71538",10000,10000,"12.12%","36 months","debt_consolidation","19.58%","CA","RENT",6250,"695-699",17,16348,0,"5 years"
"48972",3600,3600,"7.90%","36 months","credit_card","26.21%","OH","MORTGAGE",4166.67,"735-739",19,25,2,"3 years"
"31876",12000,12000,"17.49%","60 months","debt_consolidation","6.94%","OR","MORTGAGE",5445,"670-674",8,4904,0,"9 years"
"48894",6950,6950,"10.74%","36 months","credit_card","20.71%","IL","OWN",4583.33,"685-689",7,18814,0,"10+ years"
"74320",8525,8525,"10.16%","36 months","debt_consolidation","26.14%","MT","MORTGAGE",4583.33,"705-709",8,31398,0,"10+ years"
"65600",5000,5000,"14.33%","36 months","credit_card","28.51%","CO","RENT",2750,"690-694",14,5957,2,"3 years"
"38529",4800,4800,"18.25%","60 months","debt_consolidation","13.81%","OR","RENT",3750,"695-699",13,16302,0,"10+ years"
"18088",6000,6000,"13.35%","36 months","debt_consolidation","21.36%","NV","MORTGAGE",5000,"665-669",11,4363,3,"10+ years"
"47960",4000,4000,"19.22%","60 months","small_business","9.03%","VA","RENT",3700,"680-684",19,2177,2,"2 years"
"48295",14000,14000,"6.03%","36 months","debt_consolidation","14.67%","CA","RENT",7500,"745-749",12,16648,0,"10+ years"
"46245",23500,23450,"14.65%","36 months","debt_consolidation","19.48%","CA","RENT",4000,"685-689",7,20542,0,"n/a"
"13454",2500,2500,"15.95%","36 months","major_purchase","24.07%","CA","MORTGAGE",1500,"665-669",10,2684,3,"1 year"
"16524",2000,2000,"6.17%","36 months","major_purchase","2.63%","CA","RENT",1600,"745-749",9,736,0,"3 years"
"92631",24000,23925,"16.29%","60 months","credit_card","11.77%","NJ","MORTGAGE",7800,"675-679",11,20676,3,"2 years"
"14193",12800,12800,"11.49%","60 months","debt_consolidation","6.72%","CT","MORTGAGE",4166.67,"725-729",7,11992,1,"1 year"
"51829",8000,8000,"7.90%","36 months","wedding","21.58%","CA","RENT",5166.67,"725-729",5,0,0,"1 year"
"31000",3000,3000,"9.99%","36 months","credit_card","21.30%","MO","OWN",2333.33,"710-714",10,3168,1,"1 year"
"86532",7000,7000,"7.90%","36 months","credit_card","1.41%","FL","RENT",12500,"725-729",4,5093,0,"7 years"
"8102",18000,17975,"13.48%","36 months","credit_card","6.24%","IL","MORTGAGE",8333.33,"690-694",13,14838,0,"10+ years"
"3112",9000,5975,"14.11%","36 months","debt_consolidation","8.21%","CA","MORTGAGE",4167,"670-674",7,19696,1,"3 years"
"31448",11000,11000,"10.99%","36 months","debt_consolidation","4.26%","SC","MORTGAGE",6666.67,"695-699",11,4124,0,"4 years"
"51408",6000,6000,"7.90%","36 months","major_purchase","14.99%","IL","RENT",4416.67,"720-724",10,2928,0,"2 years"
"6646",6500,6475,"7.74%","36 months","debt_consolidation","18%","NH","RENT",1500,"785-789",5,2816,0,"2 years"
"87572",19500,19500,"18.49%","36 months","credit_card","9.79%","MD","RENT",10000,"675-679",16,14957,1,"2 years"
"33225",16000,16000,"17.27%","60 months","major_purchase","19.26%","MD","RENT",7000,"695-699",7,5231,1,"10+ years"
"93794",18000,17950,"14.33%","60 months","debt_consolidation","13.98%","KS","MORTGAGE",12916.67,"685-689",11,14890,2,"10+ years"
"54455",30000,29975,"23.33%","60 months","debt_consolidation","17.39%","FL","MORTGAGE",7083.33,"665-669",21,56145,1,"10+ years"
"93742",10000,10000,"14.09%","36 months","debt_consolidation","5.82%","LA","RENT",8750,"660-664",14,11394,0,"3 years"
"12860",16000,15900,"15.58%","60 months","debt_consolidation","12.86%","WA","MORTGAGE",5427.42,"700-704",11,19407,1,"5 years"
"41993",35000,35000,"17.58%","36 months","debt_consolidation","11.80%","MA","MORTGAGE",13333.33,"690-694",12,21393,1,"10+ years"
"18447",8000,8000,"13.72%","36 months","wedding","9.67%","TX","RENT",7758.33,"665-669",6,12110,1,"2 years"
"71782",14500,14500,"13.11%","36 months","debt_consolidation","28.29%","WA","MORTGAGE",5988.67,"700-704",12,18020,2,"10+ years"
"7789",12000,11925,"10.62%","36 months","other","19.02%","VA","RENT",5000,"720-724",9,11779,0,"1 year"
"19675",4500,4500,"13.43%","36 months","car","1.23%","CA","RENT",11500,"670-674",5,1847,1,"1 year"
"5858",16500,16350,"11.83%","36 months","debt_consolidation","17.44%","TX","RENT",4810.08,"725-729",7,24351,1,"3 years"
"43307",10000,10000,"9.91%","36 months","debt_consolidation","14.32%","MN","MORTGAGE",3666.67,"705-709",9,17161,0,"1 year"
"88490",35000,35000,"19.05%","60 months","credit_card","13.40%","CA","MORTGAGE",9166.67,"690-694",7,26633,0,"1 year"
"101891",21000,6165.31,"11.09%","36 months","home_improvement","21.28%","CA","OWN",18333.33,"745-749",31,270800,5,"2 years"
"102234",8400,6725,"15.45%","36 months","debt_consolidation","15.71%","MD","RENT",7083.33,"640-644",7,14578,3,"< 1 year"
"65443",6000,6000,"7.90%","36 months","credit_card","9.31%","TX","OWN",1750,"705-709",14,5056,0,"6 years"
"47597",12000,12000,"19.22%","36 months","debt_consolidation","14.62%","CT","OWN",4166.67,"665-669",3,6309,0,"6 years"
"30397",12100,12100,"16.89%","36 months","small_business","11.16%","TX","MORTGAGE",6166.67,"665-669",5,2081,0,"4 years"
"92868",25000,25000,"14.09%","36 months","home_improvement","4.79%","MD","MORTGAGE",6833.33,"675-679",5,8811,0,"8 years"
"89683",16000,15925,"6.03%","36 months","debt_consolidation","14.48%","CA","MORTGAGE",7333.33,"780-784",11,71838,1,"10+ years"
"48006",27000,27000,"18.25%","36 months","home_improvement","22.32%","SC","MORTGAGE",8583.33,"690-694",9,6658,1,"8 years"
"66892",12250,12250,"18.75%","36 months","debt_consolidation","17.21%","LA","OWN",2916.67,"665-669",7,10523,0,"7 years"
"79618",10000,10000,"17.77%","36 months","debt_consolidation","22.60%","AZ","RENT",2500,"665-669",12,12938,2,"4 years"
"55180",9175,9175,"13.67%","36 months","credit_card","19.43%","IL","MORTGAGE",7083.33,"675-679",8,25639,0,"8 years"
"75159",14075,14075,"15.31%","36 months","debt_consolidation","25.70%","VA","OWN",4000,"680-684",13,11907,2,"5 years"
"48624",13100,13100,"18.55%","36 months","debt_consolidation","23.24%","NY","RENT",7968.75,"660-664",19,19607,1,"10+ years"
"75022",14675,14675,"8.90%","36 months","debt_consolidation","14.95%","NY","MORTGAGE",4000,"715-719",6,12764,0,"7 years"
"5733",5000,4900,"11.14%","36 months","major_purchase","2.84%","FL","RENT",3200,"710-714",6,2650,2,"3 years"
"92795",18000,18000,"13.11%","36 months","debt_consolidation","26.54%","OR","MORTGAGE",4166.67,"670-674",11,16680,0,"10+ years"
"94514",12000,12000,"7.62%","36 months","debt_consolidation","15.10%","CO","RENT",5666.67,"775-779",7,12094,0,"10+ years"
"83906",19400,19400,"14.33%","36 months","debt_consolidation","16.15%","MA","MORTGAGE",4583.33,"680-684",12,12434,0,"7 years"
"93318",18000,18000,"12.12%","36 months","debt_consolidation","19.29%","IL","RENT",3333.33,"665-669",15,26573,0,"10+ years"
"62203",12000,12000,"17.77%","36 months","debt_consolidation","9.84%","NY","MORTGAGE",7500,"665-669",11,15866,0,"7 years"
"60969",8000,8000,"13.11%","36 months","debt_consolidation","26.11%","MN","MORTGAGE",4166.67,"675-679",15,11500,0,"< 1 year"
"94593",23750,23750,"19.72%","60 months","debt_consolidation","14.22%","CT","RENT",8333.33,"710-714",12,10549,3,"2 years"
"12932",7500,7475,"15.58%","36 months","debt_consolidation","10.74%","VA","MORTGAGE",5000,"695-699",8,8257,0,"2 years"
"37813",5500,5500,"12.69%","36 months","debt_consolidation","21.24%","OH","RENT",1666.67,"680-684",7,5056,1,"< 1 year"
"70028",16950,16950,"17.27%","60 months","debt_consolidation","26.62%","OK","MORTGAGE",3583.33,"710-714",7,12588,3,"10+ years"
"80138",3000,2950,"11.14%","36 months","major_purchase","27.74%","VA","MORTGAGE",4333.33,"715-719",6,6346,0,"5 years"
"26033",1600,1600,"13.49%","36 months","debt_consolidation","12.10%","CA","RENT",3200,"670-674",5,1214,0,"6 years"
"26950",6000,6000,"7.49%","36 months","home_improvement","14.66%","NC","MORTGAGE",5833.33,"715-719",12,7961,0,"9 years"
"86660",7350,7350,"12.12%","36 months","debt_consolidation","19.85%","CA","OWN",3355.05,"695-699",19,11626,3,"10+ years"
"97487",12825,12825,"17.77%","36 months","debt_consolidation","24.41%","CA","MORTGAGE",3416.67,"670-674",15,8539,1,"10+ years"
"88522",24000,23975,"21.00%","60 months","debt_consolidation","23.69%","OK","MORTGAGE",6500,"685-689",17,36555,3,"6 years"
"64166",10000,10000,"18.49%","60 months","debt_consolidation","16.47%","FL","RENT",4104.67,"695-699",5,7597,0,"5 years"
"68487",5500,5500,"14.33%","36 months","debt_consolidation","27.83%","WV","OWN",1541.67,"675-679",5,10481,1,"n/a"
"15014",17500,17500,"14.72%","36 months","debt_consolidation","9.30%","CA","RENT",9519.75,"695-699",9,31279,0,"10+ years"
"98373",10000,10000,"13.11%","36 months","credit_card","19.01%","OH","MORTGAGE",7500,"680-684",11,14426,1,"9 years"
"17664",20000,16275,"6.17%","36 months","debt_consolidation","12.27%","MD","MORTGAGE",8083.33,"770-774",13,29813,1,"10+ years"
"31943",11600,11600,"6.99%","36 months","debt_consolidation","8.62%","CA","RENT",5833.33,"735-739",8,2671,1,"< 1 year"
"29365",12000,12000,"13.99%","60 months","debt_consolidation","12.98%","CT","RENT",4166.67,"715-719",8,2316,1,"3 years"
"1800",13000,6770.1,"11.26%","36 months","small_business","14.05%","CA","MORTGAGE",7666.67,"720-724",8,9551,0,"9 years"
"57003",8575,8550,"17.27%","36 months","debt_consolidation","9.84%","NY","RENT",2500,"665-669",6,8807,2,"7 years"
"66296",6100,6100,"14.09%","36 months","credit_card","9.51%","LA","RENT",6666.67,"685-689",10,5665,2,"2 years"
"49473",14000,14000,"15.31%","36 months","credit_card","14.26%","PA","MORTGAGE",5000,"680-684",5,11249,2,"10+ years"
"92016",10500,10500,"14.33%","36 months","debt_consolidation","19.55%","FL","MORTGAGE",5666.67,"670-674",7,11301,0,"10+ years"
"82922",19600,19525,"21.49%","60 months","small_business","9.76%","CA","RENT",4170,"675-679",8,11669,0,"4 years"
"98272",15000,15000,"15.80%","36 months","credit_card","10.27%","NV","RENT",3333.33,"670-674",11,10108,0,"4 years"
"94925",8000,8000,"17.27%","36 months","other","5.28%","AZ","MORTGAGE",5833.33,"725-729",11,12484,1,"10+ years"
"70905",20000,20000,"21.49%","36 months","debt_consolidation","27.47%","TX","MORTGAGE",7750,"660-664",15,26976,0,"2 years"
"6723",11000,10969.64,"12.53%","36 months","debt_consolidation","18.89%","IL","RENT",3500,"700-704",6,6811,1,"2 years"
"102775",6000,5905.66,"17.90%","36 months","credit_card","6.60%","MI","RENT",4166.67,"675-679",5,3433,1,"2 years"
"84633",12000,12000,"11.14%","36 months","debt_consolidation","3.11%","CA","MORTGAGE",10833.33,"705-709",12,11941,0,"2 years"
"58263",17000,17000,"13.11%","36 months","debt_consolidation","16.92%","CA","RENT",5083.33,"690-694",10,8890,0,"7 years"
"69300",6250,6250,"7.90%","36 months","debt_consolidation","8.45%","IL","RENT",1916.67,"720-724",6,3295,0,"1 year"
"76916",27825,27825,"23.76%","60 months","debt_consolidation","12.86%","CA","RENT",6250,"665-669",16,27093,1,"4 years"
"97076",30000,30000,"15.31%","36 months","debt_consolidation","15.42%","NJ","RENT",8333.33,"680-684",21,29060,1,"8 years"
"2746",4200,3969.9,"14.11%","36 months","home_improvement","4.62%","OH","MORTGAGE",1558.42,"675-679",6,2255,1,"< 1 year"
"95637",3800,3800,"21.98%","36 months","small_business","8.31%","CA","RENT",4333.33,"680-684",6,4843,2,"7 years"
"53567",2000,2000,"15.31%","36 months","moving","21.43%","NC","RENT",2766.67,"670-674",5,2162,3,"< 1 year"
"77867",6000,6000,"14.09%","36 months","debt_consolidation","24.25%","AZ","RENT",4000,"680-684",12,24934,1,"10+ years"
"65121",21000,21000,"19.05%","60 months","debt_consolidation","16.24%","TX","RENT",8416.67,"685-689",8,8764,2,"5 years"
"41900",2500,2500,"13.49%","36 months","credit_card","6.24%","NY","RENT",5416.67,"680-684",8,15373,0,"6 years"
"33269",2400,2400,"16.77%","36 months","other","17%","WA","RENT",2700,"690-694",3,3418,1,"3 years"
"48581",13000,13000,"10.74%","36 months","credit_card","15.46%","CA","RENT",2166.67,"720-724",4,11101,0,"3 years"
"52893",4800,4800,"14.65%","36 months","credit_card","13.90%","HI","RENT",5000,"665-669",8,7391,0,"2 years"
"36929",17475,17475,"9.91%","36 months","credit_card","17.76%","NJ","RENT",3333.33,"730-734",15,17261,1,"2 years"
"57431",16450,16400,"21.97%","60 months","debt_consolidation","25.59%","PA","MORTGAGE",2833.33,"670-674",23,12670,2,"5 years"
"40879",14000,14000,"14.65%","36 months","debt_consolidation","3.47%","CA","MORTGAGE",8750,"680-684",6,9035,1,"10+ years"
"57586",2500,2500,"17.27%","36 months","other","11.34%","OH","MORTGAGE",5833.33,"665-669",8,14122,0,"8 years"
"62177",8000,8000,"18.49%","36 months","debt_consolidation","14.45%","VA","RENT",4166.67,"660-664",10,9425,2,"4 years"
"6020",5000,5000,"12.53%","36 months","debt_consolidation","21.49%","FL","RENT",3108.33,"705-709",8,0,0,"2 years"
"73741",15000,15000,"13.11%","36 months","debt_consolidation","12.78%","MA","RENT",9000,"690-694",19,11016,0,"< 1 year"
"32694",25000,24814.89,"12.69%","60 months","wedding","3.83%","NY","MORTGAGE",22916.67,"720-724",13,34069,0,"10+ years"
"71766",3000,2975,"8.90%","36 months","debt_consolidation","32%","FL","RENT",1000,"700-704",7,9730,0,"n/a"
"83373",6000,6000,"7.90%","36 months","credit_card","33.64%","WI","RENT",4116.67,"705-709",16,33746,0,"1 year"
"37504",7800,7800,"10.65%","36 months","debt_consolidation","7.15%","CO","MORTGAGE",4000,"720-724",6,11063,2,"9 years"
"95455",25000,25000,"7.90%","36 months","debt_consolidation","18.66%","MI","MORTGAGE",7083.33,"710-714",17,47504,0,"9 years"
"63",18500,3100,"15.33%","36 months","credit_card","5.24%","NY","RENT",7500,"660-664",8,22379,0,"1 year"
"26789",12000,12000,"12.99%","60 months","home_improvement","16.67%","GA","MORTGAGE",9166.67,"710-714",11,25165,0,"2 years"
"28032",5000,5000,"15.99%","36 months","debt_consolidation","5.26%","AL","MORTGAGE",2416.67,"665-669",5,1620,0,"6 years"
"24454",2500,2500,"10.59%","60 months","other","2.15%","MD","OWN",3958,"745-749",4,3417,0,"2 years"
"44163",16000,16000,"16.29%","60 months","debt_consolidation","5.76%","NC","MORTGAGE",5083.33,"710-714",7,8729,1,"10+ years"
"89884",25000,25000,"15.31%","60 months","debt_consolidation","3.98%","NY","RENT",5666.67,"745-749",6,11079,0,"3 years"
"28601",2000,2000,"16.89%","36 months","other","11.91%","AR","RENT",3400,"660-664",3,747,3,"10+ years"
"99913",2200,2200,"10.16%","36 months","major_purchase","24.15%","GA","MORTGAGE",3400,"730-734",6,1453,0,"5 years"
"7880",14000,13825,"10.25%","36 months","debt_consolidation","9.26%","GA","MORTGAGE",8333.33,"730-734",8,40267,1,"10+ years"
"64020",3000,3000,"13.11%","36 months","debt_consolidation","32.21%","SD","MORTGAGE",2583.33,"670-674",13,6683,0,"1 year"
"36527",11425,11400,"9.91%","36 months","debt_consolidation","19.47%","FL","MORTGAGE",4750,"730-734",9,6359,3,"8 years"
"72604",17325,17325,"17.27%","60 months","debt_consolidation","30.24%","CA","RENT",3750,"705-709",13,31362,1,"9 years"
"29547",5425,5425,"8.49%","36 months","debt_consolidation","21.16%","WV","MORTGAGE",6333.33,"730-734",21,25996,3,"10+ years"
"49950",20000,20000,"22.78%","60 months","debt_consolidation","1.63%","CA","RENT",12500,"665-669",5,5407,0,"5 years"
"34331",3300,3300,"11.71%","36 months","car","4.16%","FL","RENT",3730,"700-704",7,3675,1,"1 year"
"94232",2000,2000,"17.27%","36 months","home_improvement","20.51%","GA","MORTGAGE",3750,"670-674",10,1371,1,"7 years"
